Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
mt/set_13/frenetic/test-607,50.67021907,-2.357081117,0.007304617,-27.77275945,0.135433428,110.1002295,50.81950934,-336.0786104,149.1274484,114.1331019
mt/set_13/frenetic/test-648,35.32640882,-12.44984043,0.026317968,-27.77432769,0,106.8667198,41.08557941,-336.589485,139.138478,113.224867
mt/set_13/frenetic/test-824,58.70861697,-74.70742733,0.146485152,-27.76992605,0.20779973,48.54398098,24.50442477,-339.5225031,149.0290203,112.0041894
mt/set_13/frenetic/test-844,162.147193,-510,1,-27.78914871,0,215.2853649,351.5887952,-355.5478788,169.3099834,154.4583564
mt/set_13/frenetic/test-226,47.49661393,-67.69249525,0.150974563,-27.7724235,0.244449474,79.2567353,35.67792057,-329.2582345,178.8023602,99.83082363
mt/set_13/frenetic/test-362,56.31826604,-53.00477029,0.103930922,-27.77317809,0.176684696,64.5012587,46.55143665,-334.8897211,149.128049,102.0657242
mt/set_13/frenetic/test-426,48.38186738,-53.74141017,0.127225877,-27.77737659,0.225862863,86.92984367,61.78563185,-337.9870247,139.538949,104.967247
mt/set_13/frenetic/test-651,33.84518133,-19.33676348,0.037915223,-27.77272067,0.220870264,56.8190219,30.50050658,-358.3546962,129.0918545,125.9458208
mt/set_13/frenetic/test-707,38.72525729,22.57726517,-0.036251823,-27.77763053,0.233160686,301.9301204,76.49518223,-336.0264405,149.2437805,132.9292234
mt/set_13/frenetic/test-429,82.5125702,-116.3404423,0.228118514,-27.76901388,0.16558135,313.086724,62.89260273,-273.6332612,219.2212677,81.34789317
mt/set_13/frenetic/test-315,0,271.1806195,-0.61627633,-27.80041839,0,411.1405711,132.7358589,-338.1846207,180.1049261,114.1095512
mt/set_13/frenetic/test-422,51.07804373,-14.77578433,0.028972126,-27.77052284,0.232969586,88.30762009,25.40643978,-318.2179708,138.9995957,110.4807551
mt/set_13/frenetic/test-86,80.555309,-48.28902773,0.094684368,-27.76569202,0.205212594,169.0746408,66.05716009,-304.2860939,149.2954224,110.4917451
mt/set_13/frenetic/test-285,41.00344068,-1.755763059,0.0136226,-27.77654868,0.253975353,124.5420135,47.98275817,-306.2798481,129.543995,111.188553
mt/set_13/frenetic/test-372,40.89443211,-4.379971349,0.008588179,-27.77111249,0.263624376,113.7258346,49.35405252,-351.7324107,128.9060128,129.8138182
mt/set_13/frenetic/test-37,72.63509321,-267.9244925,0.525342142,-27.75983965,0.255442452,176.2931441,-1.081448258,-78.20243458,129.3165348,24.41559889
mt/set_13/frenetic/test-360,41.57166589,-10.46426292,0.022617367,-27.7750367,0.168957725,607.3294908,95.93572259,0.44686391,148.947681,33.27912391
mt/set_13/frenetic/test-919,54.66024135,-122.9838176,0.24114474,-27.75728594,0.248166809,118.6309651,18.30395619,-27.53088914,148.7116763,15.77523268
mt/set_13/frenetic/test-420,73.17971078,-185.8508622,0.364413455,-27.76177562,0.272606253,82.66808644,26.06445891,-24.73182151,188.5309189,16.02881155
mt/set_13/frenetic/test-757,52.63897921,-2.743690285,0.005521425,-27.77764186,0,315.462263,30.69853013,-234.4434715,149.3401887,83.13641255
mt/set_13/frenetic/test-861,43.11989376,6.171929954,-0.008151602,-27.77746211,0.210332018,273.5957011,62.22184615,14.92972594,129.5439775,19.94876312
mt/set_13/frenetic/test-831,84.70262134,-83.91056451,0.164530519,-27.76290575,0.241475237,208.3072643,46.48995247,-305.0272945,129.3469123,113.7257779
mt/set_13/frenetic/test-312,52.12411754,-31.63486125,0.06202914,-27.77051862,0.218520751,58.20929558,44.5964264,-346.3236473,129.0389496,129.370767
mt/set_13/frenetic/test-682,83.52063553,-106.6835325,0.209183397,-27.77145403,0.219789846,234.1006613,83.24537817,-343.7254511,228.9993835,97.30361512
mt/set_13/frenetic/test-593,76.26529263,-11.12992094,0.021553606,-27.77335059,0.244622744,84.09083119,28.37543409,-303.0089031,149.1125611,96.29954099
mt/set_13/frenetic/test-214,57.31896465,-133.0091978,0.260802349,-27.76129805,0.26100352,135.5174413,24.60691397,-46.75312948,168.6791975,21.80621254
mt/set_13/frenetic/test-859,46.21480645,-224.8727789,0.440927017,-27.75309524,0.212425643,208.6705024,-3.289128081,-63.718328,149.1067072,20.64507405
mt/set_13/frenetic/test-332,54.64295505,-52.52325875,0.102986782,-27.76491493,0.304817067,221.4926336,63.84411503,-12.41919789,128.9661811,29.92053328
mt/set_13/frenetic/test-806,0,2.075006418,-0.101900991,-27.79820777,0,173.2332317,58.89129531,-333.0386789,169.3254035,109.935084
mt/set_13/frenetic/test-182,25.77223488,0.895150175,0.002130779,-27.77617099,0.26850536,152.1585486,63.42688716,20.08517354,129.2162931,16.69236542
mt/set_13/frenetic/test-194,85.24037596,-146.6165482,0.287483428,-27.77142202,0,57.60995391,25.24526762,-306.9137475,129.2312484,106.6922658
mt/set_13/frenetic/test-251,41.05665981,-2.828224204,0.007758301,-27.7744062,0,61.43123104,31.15731689,-344.0224402,169.079204,96.74735612
mt/set_13/frenetic/test-77,78.78757416,-93.06364873,0.182477743,-27.77223967,0.20583825,140.5041584,53.38315487,-324.3491308,149.1378208,122.8447402
mt/set_13/frenetic/test-696,37.93481639,-29.5864843,0.078433364,-27.77730088,0.209054411,118.1880411,56.65570228,-309.9043981,179.4396551,89.98064793
mt/set_13/frenetic/test-106,31.75388751,-186.4938067,0.365674131,-27.7665227,0,286.0135467,311.2587507,-70.00884434,169.2725131,109.0764461
mt/set_13/frenetic/test-791,46.29696694,-113.4517851,0.222454481,-27.7606973,0.251244731,92.01782591,12.71990664,-41.30223868,158.6463098,16.11503252
mt/set_13/frenetic/test-186,82.60637375,-208.8735311,0.409555943,-27.75677305,0.225170004,96.07156229,28.18006724,-41.62031121,178.6460223,20.55087293
mt/set_13/frenetic/test-264,0,52.82076972,-0.148106462,-27.79875536,0,226.2951789,100.1649157,-340.6599535,209.3488821,100.8877102
mt/set_13/frenetic/test-175,94.15971225,-9.987117151,0.019582583,-27.77418156,0.198079623,178.3867625,80.36281477,-309.908116,139.3662639,113.5042591
mt/set_13/frenetic/test-351,75.72364316,-77.87939131,0.152704689,-27.77223762,0,36.87021014,34.21680879,-336.1634737,149.1614063,111.9415789
